b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12
8,8,7,6,6,6,5,5,6,7,6,5
0,10,7,7,3,5,5,2,3,5,4,3
10,12,7,7,9,6,5,10,10,10,6,5
12,12,7,7,9,6,5,10,10,5,5,5
13,6,7,7,5,6,5,4,6,5,6,5
7,14,7,7,5,6,5,4,4,6,6,5
6,11,7,6,6,6,5,6,3,3,3,3
13,6,7,5,6,6,5,4,5,5,6,5
3,12,7,6,9,6,5,4,6,6,6,5
3,3,3,3,3,5,4,5,5,4,4,4
12,16,7,5,9,5,5,7,4,5,6,5
4,5,4,7,4,5,4,5,5,5,5,5
4,5,7,4,5,4,5,5,4,4,4,5
5,3,4,5,3,4,4,5,4,6,5,5
13,12,7,7,5,5,5,6,4,6,6,5
10,9,7,7,8,6,5,5,5,5,5,5
5,5,5,5,5,6,5,5,5,5,6,5
13,10,7,7,9,6,5,7,5,7,5,5
10,9,7,5,6,6,5,5,6,5,6,5
10,15,7,7,5,6,5,5,5,5,6,5
4,6,7,6,6,6,5,5,6,6,5,5
4,6,6,6,7,5,5,6,6,6,6,4
5,6,6,7,3,4,5,4,4,3,3,5
5,9,7,7,9,6,5,9,5,7,6,5
5,9,7,7,4,4,5,5,3,5,3,5
13,10,7,7,6,6,5,8,9,10,6,5
4,16,7,4,8,6,5,5,5,6,6,4
6,15,7,7,9,6,5,7,8,11,6,5
13,10,7,7,8,6,5,6,6,6,6,5
8,7,7,5,5,3,5,3,7,7,6,5
13,9,7,7,6,6,4,2,7,8,6,5
11,10,7,5,6,6,5,3,4,8,6,4
13,9,7,5,6,6,4,3,5,5,5,5
13,12,7,7,6,6,5,4,10,9,6,5
4,5,4,5,6,5,5,4,4,5,6,5
9,9,7,6,6,5,5,5,5,6,5,5
9,8,7,7,5,5,5,5,7,7,5,5
7,15,7,7,4,6,5,4,8,7,6,3
5,3,5,5,5,5,5,5,5,5,5,5
3,2,4,5,6,6,3,4,5,5,6,5
10,16,7,5,5,6,5,5,5,5,6,5
13,12,7,7,9,6,5,4,7,10,6,5
13,10,7,7,6,6,5,6,4,5,6,5
7,11,7,6,9,6,5,3,3,6,6,4
13,15,7,6,8,6,5,5,6,7,6,5
12,9,7,7,9,6,5,7,9,8,6,5
4,5,5,5,6,6,5,4,4,5,4,4
3,4,5,4,5,6,5,4,4,4,4,4
8,12,7,7,9,6,5,5,6,7,6,5
13,10,7,7,9,6,5,6,6,6,6,5
10,9,7,7,6,5,5,5,8,7,6,5
10,16,7,7,5,6,5,5,8,10,6,5
