b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12
11,16,7,6,9,6,5,3,6,8,6,5
13,10,7,7,9,6,5,5,6,8,6,5
13,9,7,7,6,6,5,3,4,6,6,5
5,5,6,7,5,5,5,5,5,5,5,5
13,10,7,7,5,6,5,6,7,9,6,5
12,16,7,7,6,6,5,4,4,6,6,5
8,7,7,6,8,6,5,6,7,5,6,5
10,16,7,7,4,5,5,5,5,5,5,5
10,15,7,7,5,5,5,7,10,10,6,5
10,15,7,7,9,6,5,5,5,5,5,5
8,10,7,4,7,6,5,4,4,7,5,5
10,10,7,7,6,6,5,4,5,6,6,5
4,4,5,5,5,5,5,5,5,6,5,5
13,10,7,6,8,6,5,5,6,6,6,5
8,12,7,7,7,6,4,5,7,7,6,5
10,15,7,7,9,6,3,8,10,6,4,4
13,11,7,7,9,6,5,6,6,8,6,5
12,7,7,7,6,5,5,5,5,8,6,5
6,4,4,5,5,5,4,5,4,5,5,5
0,16,7,4,6,4,5,3,4,4,4,4
10,10,7,7,6,6,5,6,6,6,6,5
13,8,7,7,6,5,5,6,5,6,6,5
10,13,7,7,5,6,5,3,3,3,4,4
13,11,7,7,6,6,5,4,7,7,6,5
6,7,7,5,6,6,5,6,4,4,5,4
13,12,7,7,7,5,5,7,10,9,6,5
7,4,6,5,8,6,2,4,4,5,5,3
13,9,7,7,6,6,5,6,7,6,6,5
10,10,7,7,5,6,5,5,5,6,6,5
13,11,7,7,8,6,5,7,5,7,6,5
10,10,5,5,8,6,5,5,5,2,3,3
10,8,7,7,4,6,5,5,4,4,4,4
10,5,5,7,5,5,5,5,5,5,5,5
13,16,7,5,5,5,5,4,5,5,5,5
12,16,7,6,9,6,5,4,6,7,6,5
10,10,7,7,5,5,5,5,7,5,5,5
13,8,5,7,9,6,4,7,5,10,6,5
5,6,7,5,5,5,5,4,4,5,4,5
13,12,7,7,6,6,5,4,3,6,6,5
13,10,7,7,8,6,5,5,8,4,6,5
8,8,7,4,6,6,5,4,4,4,4,4
5,6,6,7,4,4,5,4,4,4,4,4
12,12,7,6,5,5,5,4,5,5,5,5
10,9,7,7,5,6,5,4,8,7,6,5
13,11,7,7,7,6,5,5,6,8,6,5
