StartDate,EndDate,Duration (in seconds),trt1,trt2,trt3,,
2022-05-18 9:36:10,2022-05-18 9:38:01,110,blue,,,,
2022-05-18 9:36:16,2022-05-18 9:38:02,105,blue,,,,
2022-05-18 9:36:41,2022-05-18 9:38:06,85,,blue,,,
2022-05-18 9:36:41,2022-05-18 9:38:09,88,,blue,,,
2022-05-18 9:35:35,2022-05-18 9:38:11,155,,blue,,,
2022-05-18 9:35:57,2022-05-18 9:38:11,134,blue,,,,
2022-05-18 9:36:36,2022-05-18 9:38:12,96,,,blue,,
2022-05-18 9:36:16,2022-05-18 9:38:16,120,,,blue,,
2022-05-18 9:36:16,2022-05-18 9:38:20,123,BUSN 20710,,,,
2022-05-18 9:35:28,2022-05-18 9:38:20,172,blue,,,,
2022-05-18 9:36:38,2022-05-18 9:38:30,111,blue,,,,
2022-05-18 9:36:11,2022-05-18 9:38:32,140,,,blue,,
2022-05-18 9:34:16,2022-05-18 9:38:33,256,blue,,,,
2022-05-18 9:35:55,2022-05-18 9:38:34,159,,blue,,,
2022-05-18 9:36:43,2022-05-18 9:38:37,113,,,blue,,
2022-05-18 9:36:32,2022-05-18 9:38:41,128,,blue,,,
2022-05-18 9:35:52,2022-05-18 9:38:42,170,,blue,,,
2022-05-18 9:36:12,2022-05-18 9:38:43,151,,blue,,,
2022-05-18 9:36:15,2022-05-18 9:38:44,149,,,blue,,
2022-05-18 9:36:37,2022-05-18 9:38:55,138,blue,,,,
2022-05-18 9:36:06,2022-05-18 9:38:59,172,,blue,,,
2022-05-18 9:36:11,2022-05-18 9:39:04,173,blue,,,,
2022-05-18 9:36:52,2022-05-18 9:39:06,133,,blue,,,
2022-05-18 9:36:41,2022-05-18 9:39:12,151,,Blue,,,
2022-05-18 9:36:17,2022-05-18 9:39:18,181,,Blue,,,
2022-05-18 9:36:40,2022-05-18 9:39:21,160,,blue,,,
2022-05-18 9:36:44,2022-05-18 9:39:22,158,,blue,,,
2022-05-18 9:38:14,2022-05-18 9:39:25,70,,blue,,,
2022-05-18 9:32:28,2022-05-18 9:39:25,416,,,blue,,
2022-05-18 9:36:39,2022-05-18 9:39:25,166,,,blue,,
2022-05-18 9:37:23,2022-05-18 9:39:34,130,blue,,,,
2022-05-18 9:35:36,2022-05-18 9:39:39,242,blue,,,,
2022-05-18 9:36:36,2022-05-18 9:40:11,215,,,blue,,
2022-05-18 9:36:40,2022-05-18 9:40:13,212,,blue,,,
2022-05-18 9:36:40,2022-05-18 9:40:14,214,blue,,,,
2022-05-18 9:36:28,2022-05-18 9:40:18,230,,,blue,,
2022-05-18 9:35:34,2022-05-18 9:40:33,298,blue,,,,
2022-05-18 9:36:28,2022-05-18 9:40:37,249,blue,,,,
2022-05-18 9:37:01,2022-05-18 9:40:39,217,,, blue,,
2022-05-18 9:36:50,2022-05-18 9:40:40,229,,,blue,,
2022-05-18 9:36:47,2022-05-18 9:41:05,258,,blue,,,
2022-05-18 9:37:17,2022-05-18 9:41:08,230,,,blue,,
2022-05-18 9:36:44,2022-05-18 9:41:12,268,blue,,,,
2022-05-18 9:36:44,2022-05-18 9:41:15,270,,,blue,,
2022-05-18 9:37:19,2022-05-18 9:41:30,251,,,blue,,
2022-05-18 9:38:45,2022-05-18 9:41:36,170,,,blue,,
2022-05-18 9:36:44,2022-05-18 9:42:35,351,,,blue,,
2022-05-18 9:37:27,2022-05-18 9:42:54,326,,,blue,,
2022-05-18 9:33:49,2022-05-18 9:43:18,568,blue,,,,
2022-05-18 9:36:40,2022-05-18 9:43:19,398,,,blue,,
2022-05-18 9:36:37,2022-05-18 9:43:38,420,,,blue,,
2022-05-18 9:41:52,2022-05-18 9:44:27,154,,,blue,,
2022-05-18 9:37:03,2022-05-18 9:45:02,478,,blue,,,
2022-05-18 9:35:52,2022-05-18 9:45:19,566,,blue,,,
2022-05-18 9:40:14,2022-05-18 9:45:33,318,blue,,,,
2022-05-18 9:36:39,2022-05-18 9:56:04,1165,,,blue,,
2022-05-18 10:00:14,2022-05-18 10:08:31,496,blue,,,,
2022-05-18 10:15:22,2022-05-18 10:16:59,96,blue,,,,
2022-05-18 10:15:24,2022-05-18 10:18:07,162,,blue,,,
2022-05-18 10:16:54,2022-05-18 10:20:45,230,blue,,,,
